Amazon 出品サービス、フルフィルメント by Amazon (FBA) ,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2020/10/01 02:46:40JST,10720211323,返金,503-4943793-1333462,wm-20200614-05-01500-o-so,PlayStation 2 (SCPH-30000),1,amazon.jp,Amazon,,京都府,617-0842,,"-3,545.00",-355,0,0,0,0,0,0,0,309,0,0,0,"-3,591.00"
2020/10/01 05:19:13JST,10720211323,注文,250-4887812-7580605,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,東京都,131-0041,,"6,158.00",616,0,0,0,0,0,0,0,-745,-421,0,0,"5,608.00"
2020/10/01 06:40:40JST,10720211323,注文,249-4703253-2583863,si-20200904-46-04400-o-so,Jaybird X4 ワイヤレスイヤホン Bluetooth/防水・防汗対応(IPX7)/連続再生8時間/スポーツ対応 アルファメタリック JBD-X4,1,amazon.jp,Amazon,,千葉県,267-0066,,"6,157.00",616,0,0,0,0,0,0,0,-745,-421,0,0,"5,607.00"
2020/10/01 11:01:50JST,10720211323,FBA 在庫関連の手数料,,,納品不備受領作業手数料 - 商品ラベルがありません,,Amazon.co.jp,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-102,-102
2020/10/01 11:30:20JST,10720211323,注文,249-5731893-8980642,gf-20200801-02-00330-o-sos,1/144 RX-78-2 ガンダム (機動戦士ガンダム),1,amazon.jp,Amazon,,福井県,919-0476,,"1,355.00",135,0,0,0,0,0,0,0,-328,-421,0,0,741
2020/10/01 11:30:20JST,10720211323,注文,249-5731893-8980642,gf-20200801-02-00330-o-sos,1/144 RX-78-2 ガンダム (機動戦士ガンダム),1,amazon.jp,Amazon,,福井県,919-0476,,"1,355.00",135,0,0,0,0,0,0,0,0,-421,0,0,"1,069.00"
2020/10/01 12:08:02JST,10720211323,注文,503-6791289-4451865,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,東京都,176-0002,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/01 14:59:49JST,10720211323,注文,249-0708758-4275011,gf-20200606-05-00880-o-so,BB戦士 SD戦国伝 天下統一編 初代大将軍(ショダイダイショウグン) NO.79,1,amazon.jp,Amazon,,秋田県,019-2401,,"2,255.00",225,0,0,0,0,0,0,0,-273,-421,0,0,"1,786.00"
2020/10/01 15:10:54JST,10720211323,注文,503-4250220-3449410,si-20200904-23-00000-o-so,iBUFFALO 電源連動節電機能付き 4ポートセルフパワーハブ ホワイト BSH4AE12WH,1,amazon.jp,Amazon,,福島県,960-8252,,891,89,0,0,0,0,0,0,0,-108,-421,0,0,451
2020/10/01 15:38:11JST,10720211323,注文,250-0813923-1589439,pk-20200828-10-04000-o-so,Razer Mamba Wireless 無線/有線両対応 ゲーミングマウス 【日本正規代理店保証品】 RZ01-02710100-R3M1 ブラック,1,amazon.jp,Amazon,,徳島県,771-0201,,"5,436.00",544,0,0,0,0,0,0,0,-658,-421,0,0,"4,901.00"
