日付,FNSKU,出品者SKU,商品名,数量,FC,商品の状態,国
2020-10-31T01:00:00+09:00,X000VYL0XL,au-20201001-11-00980-o-so,MODEROID フルメタル・パニック! Invisible Victory Rk-92 サベージ [GRAY] 1/60スケール PS製 組み立て式プラスチックモデル,3,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VYL0EF,au-20201001-12-03800-o-so,フレームアームズ YSX-24RD/GA ゼルフィカール/GA 全高約160mm 1/100スケール プラモデル,2,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VYL0CH,au-20201001-02-02980-o-so,青島文化教材社 VFG マクロスデルタ VF-31J ジークフリート 35周年アニバーサリー 全高約155mm 色分け済みプラモデル MC-02,6,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VYKB31,au-20201001-13-03480-o-so,コトブキヤ フレームアームズ NSG-Z0/K ドゥルガーII:RE 全高約190mm 1/100スケール プラモデル,4,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VYKB1X,au-20201001-08-07800-o-so,GGG 機動戦士Zガンダム クワトロ・バジーナ 約22cm PVC製 塗装済み完成品フィギュア,2,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VVPR5B,tz-20200926-21-00286-o-so,仮面ライダーブットバソウル オフィシャルバインダー,4,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV6PUH,gf-20200926-19-02750-o-so,HG ガンダムベース限定 モビルドールメイ ガンダムベースカラー ガンダムビルドダイバーズRe:RISE プラモデル,2,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV6PTX,td-20200926-02-00990-o-so,科学特捜隊 アンテナ流星ピンバッチ M78,4,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV6HT1,rs-20200926-03-02024-o-so,ROBOT魂 <SIDE MS> ガンダムF91（残像Ver.) 限定品ロボット魂,1,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV6HHX,te-20200926-17-00500-o-so,エレコム カメラバッグ ボディバッグ offtoco ショルダーバッグ 斜めがけ [ 参考収容寸法(カメラ収納部):90×65×190mm ] ネイビー DGB-S040NV,1,NRT1,カスタマーによる損傷,JP
2020-10-31T01:00:00+09:00,X000VV6HHX,te-20200926-17-00500-o-so,エレコム カメラバッグ ボディバッグ offtoco ショルダーバッグ 斜めがけ [ 参考収容寸法(カメラ収納部):90×65×190mm ] ネイビー DGB-S040NV,6,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV6HHN,gf-20200926-20-00990-o-so,ガンダムベース限定 ハロ ニッパー (Haro NIPPER),3,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VV68M7,rs-20200926-07-02200-o-so,ねんどろいど スパイダーマン：スパイダーバース マイルス・モラレス スパイダーバース・エディション スタンダードVer. ノンスケール ABS&PVC製 塗装済み可動フィギュア,1,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VUVQ1V,wm-20200924-58-14663-o-so,PlayStation 4 ジェット・ブラック 1TB (CUH-1200BB01)【メーカー生産終了】,1,TPFA,販売可,JP
2020-10-31T01:00:00+09:00,X000VSXSAP,rs-20200904-37-02640-o-so,figma ヱヴァンゲリヲン新劇場版:破 真希波・マリ・イラストリアス 新型プラグスーツver.,1,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSXSAP,rs-20200904-37-02640-o-so,figma ヱヴァンゲリヲン新劇場版:破 真希波・マリ・イラストリアス 新型プラグスーツver.,1,NGO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VSXSAF,gf-20200904-39-00770-o-so,ガンダムベース限定 SDガンダム BB戦士 三国創傑伝 甘寧クロスボーンガンダム 機動戦士クロスボーン・ガンダム,2,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSXS6T,io-20200904-43-03500-o-so,UQ Speed Wi-Fi HOME L01 HWS31SWU WHITE,18,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX9L3,rs-20200904-30-02640-o-so,フィギュアーツZERO 宇宙戦艦ヤマト 森雪 約150mm PVC&ABS製 塗装済み完成品フィギュア,1,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8YV,rs-20200904-34-02640-o-so,S.H.フィギュアーツ 五星戦隊ダイレンジャー リュウレンジャー 約150mm ABS&PVC製 塗装済み可動フィギュア,1,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8Y1,tm-20200904-45-02178-o-so,AMD Wraith Prism RGB CPUクーラー AM4 4ピンコネクター 銅ベース/アルミヒートシンク,1,TYO2,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8Y1,tm-20200904-45-02178-o-so,AMD Wraith Prism RGB CPUクーラー AM4 4ピンコネクター 銅ベース/アルミヒートシンク,2,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8XR,tf-20200904-26-00550-o-so,抗菌 カラー押し車つみき B 4420-9,1,NRT1,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8XH,pk-20200904-44-02178-o-so,HP シンプルなフレームの 日本語配列 メカニカル ゲーミングキーボード [GK320],2,TPFA,販売可,JP
2020-10-31T01:00:00+09:00,X000VSX8OL,gf-20200904-41-00330-o-so,1/144 MS-07B グフ (機動戦士ガンダム),2,NRT1,販売可,JP
